date,Historical,RiskMetrics,Covariance,CCC-GARCH,Student-Copula-GARCH,Student-Copula-MSM
2014-11-20,-1.6930240578154843,-1.2195935494158592,-1.6737726808586881,-0.9870432284927926,-0.987083357006774,-1.0286237216847383
2014-11-21,-1.6894564886340602,-1.1921675614146758,-1.658042945245057,-0.9691840372859541,-0.9692261739325144,-1.0138730178460966
2014-11-24,-1.6894564886340602,-1.165895695073191,-1.6578516602864273,-0.9593403286940543,-0.9593761529391979,-1.0136411979984652
2014-11-25,-1.6894564886340602,-1.1547522036032654,-1.655866420924795,-0.9716572609300358,-0.9717015061285615,-1.0418072965737961
2014-11-26,-1.6894564886340602,-1.1196095815816376,-1.655847340818411,-0.9454324851650067,-0.9454726657629587,-0.998133745826491
2014-11-28,-1.6894564886340602,-1.1001854992731939,-1.654675798832977,-0.9387576427923752,-0.938800301623559,-0.9969090990562012
2014-12-01,-1.6894564886340602,-1.0671845451126964,-1.6498296263243781,-0.9234699340920871,-0.9235065478610704,-0.9762041493805264
2014-12-02,-1.6894564886340602,-1.1129941127677043,-1.649684430533677,-1.068315560806372,-1.0683518578969293,-1.1444192373378677
2014-12-03,-1.6894564886340602,-1.1074716399930702,-1.6458886105093464,-1.0679068054173961,-1.0679547033066692,-1.1325866773693516
2014-12-04,-1.6894564886340602,-1.0848046754583869,-1.6434612008784613,-1.039330852285549,-1.0393746820594476,-1.0875814573438942
2014-12-05,-1.6894564886340602,-1.0527047444896533,-1.643909514725308,-1.0068774654406674,-1.0069189022024059,-1.0413061645899662
2014-12-08,-1.6760944844881331,-1.0238660068336607,-1.631127606928173,-0.974828874109471,-0.9748686212299746,-1.005140160109043
2014-12-09,-1.6570374584330727,-1.0418419393643474,-1.6285980885875606,-1.049723161434869,-1.0497613947123796,-1.1049630361779141
2014-12-10,-1.6570374584330727,-1.0154905803108818,-1.6286941706175457,-1.0223471086449065,-1.0223858638639047,-1.0596231138374663
2014-12-11,-1.6760944844881331,-1.1986279746259922,-1.6315889965735983,-1.3666724243369042,-1.366740414785775,-1.413066026203936
2014-12-12,-1.6760944844881331,-1.1783137655865217,-1.6284042707966186,-1.3094780584290404,-1.3095402073960876,-1.3116688291941103
2014-12-15,-1.6760944844881331,-1.2741065579756559,-1.6314641713700937,-1.484671375377093,-1.4847189665326193,-1.5404319887918991
2014-12-16,-1.6760944844881331,-1.2809566058432242,-1.632690288589451,-1.4829519669537612,-1.482996190538587,-1.5541224575987143
2014-12-17,-1.6760944844881331,-1.312351484188093,-1.6324158987233153,-1.5213672017288975,-1.5214005659054606,-1.6119270826749637
2014-12-18,-1.6760944844881331,-1.5184936793688837,-1.633403550547169,-1.7783505762967848,-1.778402645331604,-1.7573150078815005
2014-12-19,-1.6760944844881331,-1.7384889241193715,-1.6349887871514397,-2.046912824323532,-2.046976939616686,-1.8608464001833458
2014-12-22,-1.6760944844881331,-1.6934645022906678,-1.6348212004981137,-1.9156613863839547,-1.9157224493142242,-1.7104754155492268
2014-12-23,-1.6760944844881331,-1.6482045897414426,-1.6336533192907832,-1.7942206773962581,-1.7942778968726645,-1.607543240684673
2014-12-24,-1.6760944844881331,-1.598321552015682,-1.630972738601629,-1.6852944846820914,-1.6853464431899654,-1.506851571356889
2014-12-26,-1.6760944844881331,-1.5499442263915584,-1.6305243361890258,-1.579767626999616,-1.5798146963718946,-1.382397459580117
2014-12-29,-1.6626117872580704,-1.516914643158568,-1.6266250023230877,-1.5025484010360237,-1.5025877414999491,-1.3265631761832408
2014-12-30,-1.6626117872580704,-1.470808187901118,-1.626799969680998,-1.4146443290192139,-1.4146775467873027,-1.214144205089994
2014-12-31,-1.6626117872580704,-1.4432725133227897,-1.627371538141021,-1.377020198620145,-1.3770469819750586,-1.2245168017722665
2015-01-02,-1.650264086090778,-1.4510599662074453,-1.6166473790575502,-1.417042140377233,-1.4170816429233355,-1.3489646826170376
2015-01-05,-1.650264086090778,-1.4076128999956823,-1.6147889276068679,-1.341844628921459,-1.3418779376631076,-1.233926133973856
2015-01-06,-1.6626117872580704,-1.529489417454635,-1.6181146128911585,-1.5971687504737773,-1.5972191179431956,-1.578509800479645
2015-01-07,-1.6626117872580704,-1.5469952504767936,-1.6194258383598894,-1.6256699466885438,-1.6257194555624386,-1.623001367481656
2015-01-08,-1.6626117872580704,-1.5762040131203932,-1.6195178867922781,-1.6378463110507655,-1.6378956247830407,-1.6542237142084553
2015-01-09,-1.6626117872580704,-1.6914965793219063,-1.6163171676452976,-1.7897809150734214,-1.7898368744625015,-1.7544709454950937
2015-01-12,-1.6626117872580704,-1.6684727527822463,-1.617784999392954,-1.735664815641275,-1.7357196233558512,-1.6921458912276128
2015-01-13,-1.6626117872580704,-1.6515597963021478,-1.6193832509313846,-1.6960128020745653,-1.6960655879488737,-1.6754525256797999
2015-01-14,-1.6626117872580704,-1.6026013166217807,-1.619633379902125,-1.5954251876390673,-1.5954740184124727,-1.5790838617361924
2015-01-15,-1.6626117872580704,-1.5683833907747367,-1.6198653726099768,-1.5342196119943203,-1.534266399383565,-1.543708135995008
2015-01-16,-1.6626117872580704,-1.5966347082148187,-1.622207537734739,-1.5987108204527265,-1.5987397850157306,-1.6476448703393616
2015-01-20,-1.6626117872580704,-1.6417426309849534,-1.6222473495410492,-1.64876440652421,-1.6488031776522478,-1.6918827046898122
2015-01-21,-1.650264086090778,-1.596244488480533,-1.612492234887844,-1.5514270490110442,-1.5514561529521573,-1.5867765330385437
2015-01-22,-1.650264086090778,-1.554812986629358,-1.6125579367009362,-1.4686441782808042,-1.4686712692695258,-1.5047684978094102
2015-01-23,-1.650264086090778,-1.6457174491668611,-1.6130772981324575,-1.6118332714830208,-1.611865180029336,-1.6784467034771071
2015-01-26,-1.650264086090778,-1.5975485306142811,-1.610413859372438,-1.53410412262893,-1.5341407861721128,-1.5814404404601965
2015-01-27,-1.650264086090778,-1.5528073734775565,-1.6083327305364077,-1.4462762381016394,-1.4463064817224118,-1.4810670663958607
2015-01-28,-1.650264086090778,-1.6423078555358892,-1.6120825879582987,-1.6382032464062135,-1.638258131522936,-1.6913706397734631
2015-01-29,-1.650264086090778,-1.6578994315400282,-1.6142907292681425,-1.6829559918297108,-1.6830001066972313,-1.6973701114987976
2015-01-30,-1.650264086090778,-1.653439659622706,-1.6137645492239259,-1.6458419715229078,-1.6458853394667077,-1.6742743185568152
2015-02-02,-1.650264086090778,-1.6710308447140625,-1.614497496692541,-1.6882928230713894,-1.688345342153306,-1.7078307702035562
2015-02-03,-1.650264086090778,-1.6784956257437664,-1.613644303658899,-1.6781399447722791,-1.6781930457915055,-1.6986821755030412
2015-02-04,-1.650264086090778,-1.7046649694751226,-1.6136231087090327,-1.6993961076379165,-1.6994448496884085,-1.724325099524772
2015-02-05,-1.650264086090778,-1.6579173068127575,-1.6131215985375043,-1.607671560987389,-1.607719374450768,-1.627067438127093
2015-02-06,-1.650264086090778,-1.6593533328422536,-1.6122222690696457,-1.5899546836093807,-1.5900031767175902,-1.6510025165499718
2015-02-09,-1.650264086090778,-1.61641441451709,-1.6130288265660395,-1.5138607364062993,-1.5139090145363574,-1.5750077042807422
2015-02-10,-1.650264086090778,-1.5757276799988895,-1.613196923720541,-1.448173468281609,-1.448220499590898,-1.5126052360651518
2015-02-11,-1.650264086090778,-1.5998446297850761,-1.612716872938314,-1.4834375236495194,-1.4834836581605226,-1.6047973590372988
2015-02-12,-1.650264086090778,-1.5521286215350751,-1.6129220085837992,-1.3988168197930355,-1.3988585466942123,-1.4870019611034067
2015-02-13,-1.650264086090778,-1.5647319121833363,-1.6112046790545853,-1.4191437172208063,-1.41918263019419,-1.5656357553785603
2015-02-17,-1.648852791741331,-1.534642529561545,-1.6017628607092096,-1.3649335405343817,-1.3649625352297443,-1.504826995287703
2015-02-18,-1.648852791741331,-1.4888888887700134,-1.6006376778983002,-1.2910651446857118,-1.2910878761832272,-1.38401305835281
2015-02-19,-1.648852791741331,-1.443711362665602,-1.5997674107398336,-1.2253110968520557,-1.2253275000551878,-1.2679827535884056
2015-02-20,-1.648852791741331,-1.4007620043080005,-1.5998154581756532,-1.1719937089921844,-1.1720522504435824,-1.1851524574583168
2015-02-23,-1.648852791741331,-1.3810082396438081,-1.5995977311972769,-1.1543349493259065,-1.1543954675769503,-1.1865574268174512
2015-02-24,-1.648852791741331,-1.339012485155255,-1.5997408462352476,-1.1034255590890896,-1.10347990037957,-1.1083235463243268
2015-02-25,-1.637277277647602,-1.3009687029910921,-1.5958710843150337,-1.0607856792377408,-1.0608372042215426,-1.0646118112650762
2015-02-26,-1.637277277647602,-1.261485225686483,-1.5957392909970958,-1.0223719309046297,-1.0224182988880206,-1.0325003707997022
2015-02-27,-1.637277277647602,-1.224256706182666,-1.5946513942129505,-0.996133461719668,-0.9961707434116442,-1.0225489734232094
2015-03-02,-1.637277277647602,-1.1974666174434239,-1.5918456779998886,-0.9946970622362712,-0.9947316403014457,-1.0360857082371395
2015-03-03,-1.637277277647602,-1.1999001284154869,-1.5918421533083333,-1.0230638376967596,-1.023099619801777,-1.086405405963961
2015-03-04,-1.637277277647602,-1.181339003745098,-1.5910140975801086,-1.0347056955315215,-1.0347418134024444,-1.0959589464058286
2015-03-05,-1.637277277647602,-1.153909954442275,-1.5911113732075657,-1.025790878031345,-1.0258263428182988,-1.0795911766676296
2015-03-06,-1.637277277647602,-1.122176370626209,-1.587753734375813,-0.9920498763472856,-0.9920843704673177,-1.0442024866579505
2015-03-09,-1.637277277647602,-1.2028588759360295,-1.5900383152564563,-1.2079377852381328,-1.2079767468538576,-1.257565225722589
2015-03-10,-1.637277277647602,-1.174686539136403,-1.5864951530476952,-1.1593397649953774,-1.1593766006555946,-1.1708061865056714
2015-03-11,-1.648852791741331,-1.3286942637924999,-1.5904907575009384,-1.4572029166694433,-1.4572494792683401,-1.5154092436101358
2015-03-12,-1.648852791741331,-1.2906702549061988,-1.5906354075843934,-1.3812971017356568,-1.3813419130165219,-1.38305080565439
2015-03-13,-1.648852791741331,-1.3236706979095423,-1.5883879726220196,-1.413826405091401,-1.4138684943416961,-1.467667873905249
2015-03-16,-1.648852791741331,-1.3006711908614705,-1.5894168941263023,-1.3742525283127105,-1.3742939026897238,-1.4255371802949641
2015-03-17,-1.648852791741331,-1.3596019217927606,-1.5896158502366933,-1.4442546533710594,-1.4442942745917005,-1.5338978209761045
2015-03-18,-1.648852791741331,-1.318638429663769,-1.5899707818200555,-1.370827569528739,-1.3708667990995032,-1.4288510927082498
2015-03-19,-1.648852791741331,-1.3481589349483438,-1.5895757594390534,-1.4004996288626739,-1.400532356693955,-1.4909767872322828
2015-03-20,-1.648852791741331,-1.308457043416114,-1.5897852424069367,-1.3403521288739169,-1.3403829357310297,-1.4080196038331922
2015-03-23,-1.648852791741331,-1.3077589502504887,-1.589752208899427,-1.3247452821814558,-1.3247739315299583,-1.4143966086927113
2015-03-24,-1.648852791741331,-1.271640742517885,-1.5900510205284408,-1.266389984209411,-1.266425430730803,-1.3398924707075475
2015-03-25,-1.648852791741331,-1.2473732102287483,-1.5908974603775872,-1.2407413820894786,-1.240774887827455,-1.3216468090147677
2015-03-26,-1.650264086090778,-1.437985498580244,-1.5951341003390307,-1.5950593807118332,-1.5951152698315978,-1.6692985430769176
2015-03-27,-1.650264086090778,-1.3979335332268539,-1.5951180807768228,-1.508757295905838,-1.5088080344017194,-1.5460267945859298
2015-03-30,-1.650264086090778,-1.365081491694458,-1.594082742616325,-1.4312205747613465,-1.43126899561786,-1.4635208078503523
2015-03-31,-1.650264086090778,-1.40623506714187,-1.5931447622062145,-1.4744482010090143,-1.4745168203716315,-1.5646575069486806
2015-04-01,-1.650264086090778,-1.4123067876820519,-1.5932670126622166,-1.4875324938101635,-1.487605306676829,-1.5912491416626802
