,Copula-GARCH student
2015-03-11,-1.5077937032541853
2015-03-12,-1.3997641649536308
2015-03-13,-1.427780013926025
2015-03-16,-1.3714906435331535
2015-03-17,-1.44791253769229
2015-03-18,-1.3508098699926128
2015-03-19,-1.384273687592393
2015-03-20,-1.3067790973854783
2015-03-23,-1.2858182383947323
2015-03-24,-1.2136810688777362
2015-03-25,-1.1869624866828021
2015-03-26,-1.6169440187315418
2015-03-27,-1.5018000543222816
2015-03-30,-1.401365862920756
2015-03-31,-1.4544063272003043
2015-04-01,-1.4724769067714019
2015-04-02,-1.3925614108354125
2015-04-06,-1.2995857507352682
2015-04-07,-1.256116969557434
2015-04-08,-1.1850011405108922
2015-04-09,-1.1474243809291347
2015-04-10,-1.1031425150940926
2015-04-13,-1.0718818544924518
2015-04-14,-1.0503593256398973
2015-04-15,-1.0054950426122222
2015-04-16,-1.0043361641981643
2015-04-17,-0.9630258991174455
2015-04-20,-1.2397754184988363
2015-04-21,-1.2996483519744662
2015-04-22,-1.2211772310442135
2015-04-23,-1.1691512163743407
2015-04-24,-1.1090581570534237
2015-04-27,-1.0706262623595055
2015-04-28,-1.0769869399520668
2015-04-29,-1.0289222075952262
2015-04-30,-1.0391872977308447
2015-05-01,-1.285587223251615
2015-05-04,-1.364838674105558
2015-05-05,-1.27357088812816
2015-05-06,-1.4633620408242016
2015-05-07,-1.3880505007787536
2015-05-08,-1.3070905429107726
2015-05-11,-1.4107289262711789
2015-05-12,-1.3400684602883504
2015-05-13,-1.2711036845183001
2015-05-14,-1.1882391650879862
2015-05-15,-1.2979741733718662
2015-05-18,-1.2112940343173446
2015-05-19,-1.1555453472524295
2015-05-20,-1.0938301572605078
2015-05-21,-1.0391599939298837
2015-05-22,-0.9951190280941667
2015-05-26,-0.962376798764169
2015-05-27,-1.149061866518409
2015-05-28,-1.2546939432524788
2015-05-29,-1.1809869277910139
2015-06-01,-1.1826135999118277
2015-06-02,-1.113109387238437
2015-06-03,-1.0602086663902328
2015-06-04,-1.0169961385230182
2015-06-05,-1.111110831888
2015-06-08,-1.0547025627166302
2015-06-09,-1.116153161163059
2015-06-10,-1.0603359272675148
2015-06-11,-1.2039616810645648
2015-06-12,-1.1341004445441445
2015-06-15,-1.1568198752541703
2015-06-16,-1.1338933511980622
2015-06-17,-1.106302369593172
2015-06-18,-1.0522320939855248
2015-06-19,-1.1723061846089378
2015-06-22,-1.1487676817499375
2015-06-23,-1.1338140543734578
2015-06-24,-1.0744382373338608
2015-06-25,-1.1255789470449418
2015-06-26,-1.084561147947544
2015-06-29,-1.0641227573420275
2015-06-30,-1.6797438343637185
2015-07-01,-1.5613791307493698
2015-07-02,-1.4824584122081135
2015-07-06,-1.3809253708242968
2015-07-07,-1.3158160048724146
2015-07-08,-1.2574232531655647
2015-07-09,-1.5629236223132037
2015-07-10,-1.454751361780587
2015-07-13,-1.5401433345771987
2015-07-14,-1.5847166001501989
2015-07-15,-1.4928703275778465
2015-07-16,-1.392536113894555
2015-07-17,-1.4046382439174088
2015-07-20,-1.3439925330536333
2015-07-21,-1.261949718866872
2015-07-22,-1.2145097153738649
2015-07-23,-1.1877934941167143
2015-07-24,-1.178631076483531
2015-07-27,-1.3012727695411133
2015-07-28,-1.308517264649755
2015-07-29,-1.372013329528587
2015-07-30,-1.3226929018623386
2015-07-31,-1.242279567806091
2015-08-03,-1.1763767915102392
2015-08-04,-1.127374278312724
2015-08-05,-1.0800429511350964
2015-08-06,-1.0547792753017444
2015-08-07,-1.2430012326379238
2015-08-10,-1.1875093754850752
2015-08-11,-1.309018875990791
2015-08-12,-1.4001216723328165
2015-08-13,-1.3059073228567846
2015-08-14,-1.2322183781262928
2015-08-17,-1.1724682984518784
2015-08-18,-1.1592181451769075
2015-08-19,-1.1352074758049253
2015-08-20,-1.1918793221984594
2015-08-21,-1.8443699730601206
2015-08-24,-2.7151632183646157
2015-08-25,-3.5580791822745357
2015-08-26,-3.2625687397901233
2015-08-27,-3.8502327269539376
2015-08-28,-3.74205818331629
2015-08-31,-3.3352509669650714
2015-09-01,-3.049028926024745
2015-09-02,-3.359421308878632
2015-09-03,-3.2649225529650425
2015-09-04,-2.9218977024433035
2015-09-08,-2.7740204062524243
2015-09-09,-2.9529467158170144
2015-09-10,-2.7846379445626983
2015-09-11,-2.5210324388275915
2015-09-14,-2.270544725983608
2015-09-15,-2.0608310617364274
2015-09-16,-1.9951126066402962
2015-09-17,-1.8473572526897395
2015-09-18,-1.6769278027141823
2015-09-21,-1.8459208912990397
2015-09-22,-1.6825758092028869
2015-09-23,-1.7788789187273784
2015-09-24,-1.6285654819209388
2015-09-25,-1.5086438377019604
2015-09-28,-1.4491716487152722
2015-09-29,-2.243752733122152
2015-09-30,-2.051392314154646
2015-10-01,-2.2306473508854587
2015-10-02,-2.0259624363084456
2015-10-05,-2.0604461237017953
2015-10-06,-2.1307912759209686
2015-10-07,-1.9696093109822506
2015-10-08,-1.8548237149179159
2015-10-09,-1.7408669287810863
2015-10-12,-1.597450710982346
