,Copula-GARCH sjc
2015-05-08,-1.297204044406923
2015-05-11,-1.4000419196894416
2015-05-12,-1.3294460464136042
2015-05-13,-1.26137688452881
2015-05-14,-1.1791949775350126
2015-05-15,-1.2880192473474386
2015-05-18,-1.2019534644215952
2015-05-19,-1.1464697200740348
2015-05-20,-1.085233791670184
2015-05-21,-1.0308406620907973
2015-05-22,-0.9871242595434347
2015-05-26,-0.9545005961788181
2015-05-27,-1.1398490505753152
2015-05-28,-1.2448314060264865
2015-05-29,-1.1718535707695246
2015-06-01,-1.1732216196627157
2015-06-02,-1.1041427684248875
2015-06-03,-1.0516804812635947
2015-06-04,-1.0088257513189143
2015-06-05,-1.1021745890469226
2015-06-08,-1.046081032223395
2015-06-09,-1.1071298713357618
2015-06-10,-1.051624383863433
2015-06-11,-1.194263040272156
2015-06-12,-1.1248617017918345
2015-06-15,-1.1475455836438169
2015-06-16,-1.1249859684075687
2015-06-17,-1.0976384397701096
2015-06-18,-1.0439823735625677
2015-06-19,-1.1630767791130519
2015-06-22,-1.1399992590960528
2015-06-23,-1.1248637668906996
2015-06-24,-1.0660788281580227
2015-06-25,-1.117049862414327
2015-06-26,-1.0764170126414108
2015-06-29,-1.0562873253880634
2015-06-30,-1.6677537562194107
2015-07-01,-1.5502352008506737
2015-07-02,-1.4719499714654427
2015-07-06,-1.371052536864796
2015-07-07,-1.3067017580804419
2015-07-08,-1.2494797794721992
2015-07-09,-1.5527367624086805
2015-07-10,-1.4446527662879072
2015-07-13,-1.5296909769923244
2015-07-14,-1.5741266348267149
2015-07-15,-1.4828503018523456
2015-07-16,-1.3838541253864252
2015-07-17,-1.3963262234480214
2015-07-20,-1.3360893488377652
2015-07-21,-1.2544846970289327
2015-07-22,-1.2073129893035301
2015-07-23,-1.180619829055847
2015-07-24,-1.171768446789868
2015-07-27,-1.2934667000123314
2015-07-28,-1.3009902758272875
2015-07-29,-1.3641473890454747
2015-07-30,-1.3149495802172566
2015-07-31,-1.2350127291775415
2015-08-03,-1.1694528536277145
2015-08-04,-1.1208379906874677
2015-08-05,-1.0735145338219043
2015-08-06,-1.048190034498931
2015-08-07,-1.2347791425826795
2015-08-10,-1.1799292275547528
2015-08-11,-1.3007022159893384
2015-08-12,-1.391427053245817
2015-08-13,-1.2978825677296695
2015-08-14,-1.2248564841586624
2015-08-17,-1.1654871783649685
