,Copula-GARCH gaussian
2015-02-25,-1.4091706795719776
2015-02-26,-1.35622261014251
2015-02-27,-1.3239799586348544
2015-03-02,-1.3403273924631556
2015-03-03,-1.4000241160686282
2015-03-04,-1.434021021190996
2015-03-05,-1.4279539501070517
2015-03-06,-1.3721253861747464
2015-03-09,-1.7588761635627748
2015-03-10,-1.6653257902022174
2015-03-11,-2.170306872870782
2015-03-12,-2.01701851597887
2015-03-13,-2.0574987352108156
2015-03-16,-1.9774457093560833
2015-03-17,-2.085707230365144
2015-03-18,-1.948146088325133
2015-03-19,-1.9955178119649952
2015-03-20,-1.885786506339363
2015-03-23,-1.8561862994293763
2015-03-24,-1.753977797250412
2015-03-25,-1.7158704703749335
2015-03-26,-2.322872428966815
2015-03-27,-2.159857513775847
2015-03-30,-2.0178762129492607
2015-03-31,-2.0932610409857535
2015-04-01,-2.1180828678532246
2015-04-02,-2.005100528011933
2015-04-06,-1.8734492891697863
2015-04-07,-1.812132703143289
2015-04-08,-1.7114923666151345
2015-04-09,-1.6584335376371386
2015-04-10,-1.5962102948731256
2015-04-13,-1.551407018351705
2015-04-14,-1.5210977231360143
2015-04-15,-1.4576188815097952
2015-04-16,-1.4559799345047097
2015-04-17,-1.3975382072390927
2015-04-20,-1.7879026557397748
2015-04-21,-1.8727183833005825
2015-04-22,-1.7618854566728648
2015-04-23,-1.6882371668956828
2015-04-24,-1.603271411986568
2015-04-27,-1.5503541112289263
2015-04-28,-1.5586242737219285
2015-04-29,-1.4905584380021537
2015-04-30,-1.5045403933906698
2015-05-01,-1.8522796385600007
2015-05-04,-1.9647169979638095
2015-05-05,-1.8356196832647949
2015-05-06,-2.103514730442528
2015-05-07,-1.9967899332782515
2015-05-08,-1.8822955377760895
2015-05-11,-2.0290722409244535
2015-05-12,-1.92894616589633
2015-05-13,-1.8307062246118067
2015-05-14,-1.713491204715063
2015-05-15,-1.869245334148172
2015-05-18,-1.7468529462566311
2015-05-19,-1.6681346139961222
2015-05-20,-1.580972138524294
2015-05-21,-1.503884564249775
2015-05-22,-1.4418172073820397
2015-05-26,-1.3960568086084795
2015-05-27,-1.659347881812891
2015-05-28,-1.808842084002892
2015-05-29,-1.7045127135239615
2015-06-01,-1.7065276388113708
2015-06-02,-1.6088808974773285
2015-06-03,-1.53363136865017
2015-06-04,-1.4727761431329456
2015-06-05,-1.6054327695435728
2015-06-08,-1.5259275248814084
2015-06-09,-1.6122123501498464
2015-06-10,-1.532359228710062
2015-06-11,-1.7358498391029293
2015-06-12,-1.6371168925707165
2015-06-15,-1.6688993899903832
2015-06-16,-1.6359568623910825
2015-06-17,-1.5968457144617745
2015-06-18,-1.5198534398597925
2015-06-19,-1.6904845642058135
2015-06-22,-1.656991127533238
2015-06-23,-1.636556554651738
2015-06-24,-1.5521361330078738
2015-06-25,-1.623980870730848
2015-06-26,-1.5656397346111999
2015-06-29,-1.53609833545789
2015-06-30,-2.4060777979685533
2015-07-01,-2.2388132124386373
2015-07-02,-2.1272251094239962
2015-07-06,-1.9835461934185785
2015-07-07,-1.891215562821175
2015-07-08,-1.8087202485790332
2015-07-09,-2.24034007204042
2015-07-10,-2.086705096898604
2015-07-13,-2.2080430536656186
2015-07-14,-2.2710926116775294
2015-07-15,-2.1413359703749792
2015-07-16,-1.9995378113406115
2015-07-17,-2.0169442104320576
2015-07-20,-1.9312558096884878
2015-07-21,-1.8150535752469616
2015-07-22,-1.7479932533971798
2015-07-23,-1.7098833106065985
2015-07-24,-1.6967656043013577
2015-07-27,-1.8700648090728849
2015-07-28,-1.8801874746165985
2015-07-29,-1.9704993105793744
2015-07-30,-1.9007731062810274
2015-07-31,-1.787205514099538
2015-08-03,-1.6939518804864089
2015-08-04,-1.624570026555924
2015-08-05,-1.5584124939505375
2015-08-06,-1.522664987966942
2015-08-07,-1.787673992369585
2015-08-10,-1.709064605555449
2015-08-11,-1.8813820691849863
2015-08-12,-2.0097276655302565
2015-08-13,-1.876294538989877
2015-08-14,-1.7719170670438826
2015-08-17,-1.6876316758652632
2015-08-18,-1.669258757127602
2015-08-19,-1.6351333775471453
2015-08-20,-1.7150581208008362
2015-08-21,-2.6377074484442096
2015-08-24,-3.8696851832451964
2015-08-25,-5.062214117327994
2015-08-26,-4.644322253864571
2015-08-27,-5.476446546497503
2015-08-28,-5.323676406953485
2015-08-31,-4.748289271868696
2015-09-01,-4.343159577132444
2015-09-02,-4.782005829161264
2015-09-03,-4.648836770590092
2015-09-04,-4.1636381508390565
2015-09-08,-3.9538721245350628
2015-09-09,-4.207293238491582
2015-09-10,-3.969362130604806
2015-09-11,-3.5965264279811144
2015-09-14,-3.2424738032841285
2015-09-15,-2.9463099793721734
2015-09-16,-2.8534481408029824
2015-09-17,-2.6447400475371214
2015-09-18,-2.4039430778371833
2015-09-21,-2.6437953225073243
2015-09-22,-2.412557025079391
2015-09-23,-2.5482955933138705
2015-09-24,-2.335075938303983
2015-09-25,-2.1655529649288026
2015-09-28,-2.0810282007710796
2015-09-29,-3.2038386587312067
2015-09-30,-2.9314855797527812
2015-10-01,-3.185672491388149
2015-10-02,-2.8956403093171796
2015-10-05,-2.9441313460231493
2015-10-06,-3.0439061398850225
2015-10-07,-2.8156690360980328
2015-10-08,-2.6535531818776064
2015-10-09,-2.4926046780524347
2015-10-12,-2.289846977916838
