,Copula-GARCH gaussian
2015-05-21,-1.0391489646140082
2015-05-22,-0.9951070729680381
2015-05-26,-0.9623656534244176
2015-05-27,-1.1490496205743361
2015-05-28,-1.2546811918150647
2015-05-29,-1.1809748062135819
2015-06-01,-1.1825982104507928
2015-06-02,-1.1130935227190943
2015-06-03,-1.0601946703057739
2015-06-04,-1.0169784392458947
2015-06-05,-1.1110927495654603
2015-06-08,-1.0546857795145745
2015-06-09,-1.1161369578619678
2015-06-10,-1.060319626521153
2015-06-11,-1.2039459738504292
2015-06-12,-1.1340847213179757
2015-06-15,-1.1568056512317444
2015-06-16,-1.1338787079053398
2015-06-17,-1.1062876680696816
2015-06-18,-1.0522177767485876
2015-06-19,-1.172286753620022
2015-06-22,-1.1487506197149193
2015-06-23,-1.1337968063928643
2015-06-24,-1.0744215825795789
2015-06-25,-1.125562043578818
2015-06-26,-1.0845447223822897
2015-06-29,-1.064110125761727
2015-06-30,-1.6797343531060094
2015-07-01,-1.561370835620297
2015-07-02,-1.482452665528836
2015-07-06,-1.3809177020561585
2015-07-07,-1.3158090772199178
2015-07-08,-1.2574203412191536
2015-07-09,-1.5629181686009608
2015-07-10,-1.4547449477249785
2015-07-13,-1.5401355892002628
2015-07-14,-1.5847084121962374
2015-07-15,-1.4928595777169844
2015-07-16,-1.3925263432949164
2015-07-17,-1.404627579222145
2015-07-20,-1.3439851680416055
2015-07-21,-1.2619403954238206
2015-07-22,-1.2145010992009377
2015-07-23,-1.187786752703447
2015-07-24,-1.1786235236755607
2015-07-27,-1.3012659611342423
2015-07-28,-1.3085079192862683
2015-07-29,-1.372001351016982
2015-07-30,-1.3226821676993348
2015-07-31,-1.242269189712228
2015-08-03,-1.176366117577834
2015-08-04,-1.127361734319171
2015-08-05,-1.0800278648384567
2015-08-06,-1.054763942424365
2015-08-07,-1.2429810778856267
2015-08-10,-1.1874899775305383
2015-08-11,-1.3090003198190137
2015-08-12,-1.4001010062783468
2015-08-13,-1.3058879647399235
2015-08-14,-1.232199765651555
2015-08-17,-1.1724503599275955
2015-08-18,-1.1591991832012076
2015-08-19,-1.135189532458127
2015-08-20,-1.1918594250322807
2015-08-21,-1.8443422599208183
2015-08-24,-2.7151152985554656
2015-08-25,-3.5580018080660194
2015-08-26,-3.2625011558901518
2015-08-27,-3.8501476550651574
2015-08-28,-3.7419164852467235
2015-08-31,-3.335163235607142
2015-09-01,-3.0489501644891694
2015-09-02,-3.3593200056402894
2015-09-03,-3.2648281405562174
2015-09-04,-2.921814087014171
2015-09-08,-2.7739467710676875
2015-09-09,-2.952863296641804
2015-09-10,-2.78455608942962
2015-09-11,-2.5209581860353256
2015-09-14,-2.270473010364904
2015-09-15,-2.0607672626610647
2015-09-16,-1.995050033335067
2015-09-17,-1.8473007456560204
2015-09-18,-1.6768791956404379
2015-09-21,-1.8458587507749615
2015-09-22,-1.6825268845781847
2015-09-23,-1.7788259425269761
2015-09-24,-1.628514692554693
2015-09-25,-1.5085966878412465
2015-09-28,-1.4491274278478483
2015-09-29,-2.243686586797817
2015-09-30,-2.0513384791503464
2015-10-01,-2.2305860462869798
2015-10-02,-2.025907518629686
2015-10-05,-2.06039003417471
2015-10-06,-2.1307333767359036
2015-10-07,-1.9695549680578017
2015-10-08,-1.854774490871628
2015-10-09,-1.7408272480404525
2015-10-12,-1.5974168629563883
