,Copula-GARCH frank
2015-07-07,-1.313771217346149
2015-07-08,-1.2525244482737132
2015-07-09,-1.5614319179158902
2015-07-10,-1.4512343098872194
2015-07-13,-1.5514813908521998
2015-07-14,-1.5963097910670396
2015-07-15,-1.4907093540430043
2015-07-16,-1.4026474191045797
2015-07-17,-1.4004782589783797
2015-07-20,-1.3536597296562558
2015-07-21,-1.260472724334095
2015-07-22,-1.223323443759736
2015-07-23,-1.185992174289309
2015-07-24,-1.1769022488881824
2015-07-27,-1.299350943753114
2015-07-28,-1.306175982618901
2015-07-29,-1.3683986906248982
2015-07-30,-1.3215341512387877
2015-07-31,-1.2515371385088478
2015-08-03,-1.1851966824776559
2015-08-04,-1.1258307357563468
2015-08-05,-1.0881731484884152
2015-08-06,-1.0511872071265456
2015-08-07,-1.2426623525161997
2015-08-10,-1.1961652729394763
2015-08-11,-1.3188534908243374
2015-08-12,-1.3967567589640846
2015-08-13,-1.3156591968852633
2015-08-14,-1.2303110724797457
2015-08-17,-1.170995753055442
2015-08-18,-1.1576405163778194
2015-08-19,-1.133706143641554
2015-08-20,-1.1903017113272134
2015-08-21,-1.844342762173877
2015-08-24,-2.710923316698357
2015-08-25,-3.553039151535731
2015-08-26,-3.286792765614219
2015-08-27,-3.845962187033139
2015-08-28,-3.7698180460925443
2015-08-31,-3.331323147913586
2015-09-01,-3.071574591555161
2015-09-02,-3.3548701043022584
2015-09-03,-3.2610559971201063
2015-09-04,-2.912445391421946
2015-09-08,-2.794604512683521
2015-09-09,-2.9717624271769743
2015-09-10,-2.7842075542047704
2015-09-11,-2.539639673485538
2015-09-14,-2.2737166819588976
2015-09-15,-2.056767892812816
2015-09-16,-2.0099580209750414
2015-09-17,-1.8452123186656888
2015-09-18,-1.6757923936373418
2015-09-21,-1.8599900354159955
2015-09-22,-1.6952423279884306
2015-09-23,-1.778286502131579
2015-09-24,-1.6246731212890937
2015-09-25,-1.5055703466446002
2015-09-28,-1.4453151666314674
2015-09-29,-2.2410077946274294
2015-09-30,-2.066485473623707
2015-10-01,-2.225433687073636
2015-10-02,-2.023895056078382
2015-10-05,-2.0575419264612274
2015-10-06,-2.1291965466831835
2015-10-07,-1.9672217574097632
2015-10-08,-1.8683926045274066
2015-10-09,-1.7537139951243492
2015-10-12,-1.6092631946009488
