,Variance-Covariance
2015-05-04,-2.2749491747341883
2015-05-05,-2.274743024377213
2015-05-06,-2.278162679653443
2015-05-07,-2.278744223125255
2015-05-08,-2.278500428827126
2015-05-11,-2.2788740208353087
2015-05-12,-2.2795674292102177
2015-05-13,-2.278772194172898
2015-05-14,-2.2789063589808123
2015-05-15,-2.279136760819948
2015-05-18,-2.277838967137237
2015-05-19,-2.277838547535182
2015-05-20,-2.2768521261144423
2015-05-21,-2.273751251398999
2015-05-22,-2.2733728691001622
2015-05-26,-2.2688585124196248
2015-05-27,-2.271236527837884
2015-05-28,-2.270616466678895
2015-05-29,-2.2709448481847088
2015-06-01,-2.2720490862695772
2015-06-02,-2.2682458817416182
2015-06-03,-2.26710658892189
2015-06-04,-2.2660457930735074
2015-06-05,-2.2672558179146187
2015-06-08,-2.265669549783528
2015-06-09,-2.264701104673448
2015-06-10,-2.2644363869910498
2015-06-11,-2.2649862105918412
2015-06-12,-2.264866448500194
2015-06-15,-2.2660551329716117
2015-06-16,-2.2669212510037635
2015-06-17,-2.2669029475424622
2015-06-18,-2.266940981063811
2015-06-19,-2.266885001547048
2015-06-22,-2.2675729253851453
2015-06-23,-2.2667011648464954
2015-06-24,-2.2668132695278067
2015-06-25,-2.268222024319541
2015-06-26,-2.2687151815210806
2015-06-29,-2.269363913992487
2015-06-30,-2.277067539915516
2015-07-01,-2.276609331091563
2015-07-02,-2.2764478664511154
2015-07-06,-2.2764593643720312
2015-07-07,-2.27706465315288
2015-07-08,-2.276674117925935
2015-07-09,-2.2811803271598117
2015-07-10,-2.280569269343803
2015-07-13,-2.2808341182499237
2015-07-14,-2.281469474543575
2015-07-15,-2.281272297395087
2015-07-16,-2.2811141709402807
2015-07-17,-2.281196262363324
2015-07-20,-2.281179838363537
2015-07-21,-2.281191740520108
2015-07-22,-2.281469466004359
2015-07-23,-2.282328345403282
2015-07-24,-2.283322685080679
2015-07-27,-2.282838309369787
2015-07-28,-2.283551059294753
2015-07-29,-2.283539639631431
2015-07-30,-2.2834404131651325
2015-07-31,-2.283345940478709
2015-08-03,-2.283701772401192
2015-08-04,-2.284260336506405
