,Copula-MSM plackett
2015-03-30,-1.46141921613019
2015-03-31,-1.5628267701273757
2015-04-01,-1.5864263249030044
2015-04-02,-1.5192437861458066
2015-04-06,-1.411033976679632
2015-04-07,-1.3491664228540716
2015-04-08,-1.2703148172025212
2015-04-09,-1.214363256511806
2015-04-10,-1.0769927490570834
2015-04-13,-1.0254764708447335
2015-04-14,-1.0012510051292598
2015-04-15,-0.940278638120021
2015-04-16,-0.9422603639685738
2015-04-17,-0.9033328113818335
2015-04-20,-1.3640822293384756
2015-04-21,-1.4793142898125955
2015-04-22,-1.3552796049862725
2015-04-23,-1.190377170435033
2015-04-24,-1.0951058149675554
2015-04-27,-1.0557746771839736
2015-04-28,-1.0606236061862893
2015-04-29,-0.9983141748073031
2015-04-30,-1.0175591054919966
2015-05-01,-1.3063174652650698
2015-05-04,-1.516952178241179
2015-05-05,-1.33657975442521
2015-05-06,-1.5835153377479667
2015-05-07,-1.539415691106103
2015-05-08,-1.448832812524726
2015-05-11,-1.5320837325447376
2015-05-12,-1.5057305059454362
2015-05-13,-1.4119386823769011
2015-05-14,-1.2660717018418353
2015-05-15,-1.4360948768692734
2015-05-18,-1.3371832768926182
2015-05-19,-1.2497285980835997
2015-05-20,-1.1296992559776717
2015-05-21,-1.036043040157021
2015-05-22,-0.987670312624106
2015-05-26,-0.9495434767762553
2015-05-27,-1.1798556759885968
2015-05-28,-1.4062610585176485
2015-05-29,-1.2659011657471761
2015-06-01,-1.2031684218289158
2015-06-02,-1.0947178168138612
2015-06-03,-1.02191977437819
2015-06-04,-0.9849503071159532
2015-06-05,-1.1036446694621955
2015-06-08,-1.0225511803355973
2015-06-09,-1.1029257060467632
2015-06-10,-1.04997597170137
2015-06-11,-1.2235142165553097
2015-06-12,-1.1260536191878168
2015-06-15,-1.1738090506030006
2015-06-16,-1.131723166653073
2015-06-17,-1.0850027630838313
2015-06-18,-1.02715886205761
2015-06-19,-1.1868961188102407
2015-06-22,-1.1475725984148075
2015-06-23,-1.1312641538725374
2015-06-24,-1.0510555508854584
2015-06-25,-1.1204933465433746
2015-06-26,-1.0578117219729457
2015-06-29,-1.042245433356097
2015-06-30,-1.6803557214346716
2015-07-01,-1.578936464995726
2015-07-02,-1.5254382585966244
2015-07-06,-1.4146706140360314
2015-07-07,-1.3227050714643886
2015-07-08,-1.2350018076990559
2015-07-09,-1.6041318478573445
