,Historical,Variance-Covariance,RiskMetrics,CCC-GARCH,Copula-GARCH Student,Copula-MSM Student
2014-05-13,-1.7682407358493757,-1.7355914707821547,-1.3453791186978636,-1.2827822292310391,-1.2827985504290351,-1.3692951569640817
2014-05-14,-1.7682407358493757,-1.734720495366236,-1.3056898125456442,-1.2298241967955443,-1.2298452229065548,-1.2930584303599215
2014-05-15,-1.7682407358493757,-1.7357459033604878,-1.2883749618288272,-1.225966810909893,-1.2259869173519231,-1.2935966394718352
2014-05-16,-1.7682407358493757,-1.7361479515091172,-1.295638368200981,-1.28077706945254,-1.2808238778693908,-1.3529147604628105
2014-05-19,-1.7682407358493757,-1.7357837754048486,-1.269071943046667,-1.230864196635089,-1.2309036801044333,-1.292852846109869
2014-05-20,-1.7682407358493757,-1.7357833777968008,-1.2555548310303315,-1.206263105059131,-1.2062971098771893,-1.2649141292508177
2014-05-21,-1.7682407358493757,-1.7352730391270206,-1.247552139446121,-1.2201673212063795,-1.220201365784365,-1.2884754786070456
2014-05-22,-1.7682407358493757,-1.735281437630721,-1.2544173694155103,-1.2264303366805107,-1.2264609144655667,-1.318182515537028
2014-05-23,-1.7682407358493757,-1.7350290288149193,-1.226474138163339,-1.1812746991664878,-1.181307292012867,-1.2471452556032383
2014-05-27,-1.7682407358493757,-1.7348508293794962,-1.2125838040381685,-1.1569471838654315,-1.1569750336913305,-1.2290939205573994
2014-05-28,-1.7682407358493757,-1.734237923270536,-1.2311397240965791,-1.1864912376926149,-1.1865184829589972,-1.285061732675234
2014-05-29,-1.7682407358493757,-1.731488634152531,-1.196281602436548,-1.1417608552644896,-1.1417956412669448,-1.2179303934356096
2014-05-30,-1.7682407358493757,-1.7306631598632891,-1.1798867878364765,-1.1164953367833546,-1.116527272305358,-1.1919858649254285
2014-06-02,-1.7682407358493757,-1.7306884077250164,-1.1440036878816526,-1.075230393845307,-1.0752591416540545,-1.1370808590382242
