,Copula-MSM gaussian
2015-02-12,-2.4032163552962014
2015-02-13,-2.486332857767637
2015-02-17,-2.4060121000887897
2015-02-18,-2.2596788669108046
2015-02-19,-2.0866453318368685
2015-02-20,-1.9303110106834764
2015-02-23,-1.9130992305740289
2015-02-24,-1.7607528671933361
2015-02-25,-1.6530661570560965
2015-02-26,-1.5791145017402668
2015-02-27,-1.5454505428891598
2015-03-02,-1.5747148063834653
2015-03-03,-1.6834333454685235
2015-03-04,-1.7118807658251118
2015-03-05,-1.6067115912281582
2015-03-06,-1.5239664754823192
2015-03-09,-2.1426766493046485
2015-03-10,-2.024858998333882
2015-03-11,-2.43970584951696
2015-03-12,-2.28734319882044
2015-03-13,-2.3494962288050685
2015-03-16,-2.284529676428887
2015-03-17,-2.409860146994848
2015-03-18,-2.27436263192392
2015-03-19,-2.3452154193039836
2015-03-20,-2.225710386033999
2015-03-23,-2.1756385364285418
2015-03-24,-2.1258765688528487
2015-03-25,-2.0807143654237343
2015-03-26,-2.5804711860453673
2015-03-27,-2.448517337197037
2015-03-30,-2.3575810153835546
2015-03-31,-2.4693942990072397
2015-04-01,-2.3941975734757763
2015-04-02,-2.4161729187511978
2015-04-06,-2.2348488770010495
2015-04-07,-2.1485404716491225
2015-04-08,-2.126036227530397
2015-04-09,-2.070774709137662
2015-04-10,-1.854087649209764
2015-04-13,-1.7734048329996475
2015-04-14,-1.6957078527624803
2015-04-15,-1.6073428685371989
2015-04-16,-1.620794345744524
2015-04-17,-1.5352086000859428
2015-04-20,-2.167895519460705
2015-04-21,-2.279380349568514
2015-04-22,-2.160152119639942
2015-04-23,-2.0286685125721444
2015-04-24,-1.8902029567697158
2015-04-27,-1.8213000300377293
2015-04-28,-1.8241763124535781
2015-04-29,-1.7055118570905718
2015-04-30,-1.733214002471131
2015-05-01,-2.124432996535853
2015-05-04,-2.3205365568766716
2015-05-05,-2.2221682323673004
2015-05-06,-2.4919886964305604
2015-05-07,-2.339631423724814
2015-05-08,-2.2522098198584137
2015-05-11,-2.3635247721229664
2015-05-12,-2.30633871640792
2015-05-13,-2.282586002137969
2015-05-14,-2.0688537787679455
2015-05-15,-2.2419449015658377
2015-05-18,-2.13645597286458
2015-05-19,-2.1033226398934013
2015-05-20,-1.938431335383785
2015-05-21,-1.7824139915679347
2015-05-22,-1.6844067898861894
2015-05-26,-1.608491679959801
2015-05-27,-1.992371310360454
2015-05-28,-2.211523090077683
2015-05-29,-2.0681367943730735
2015-06-01,-2.040243803264286
2015-06-02,-1.8807035060856465
2015-06-03,-1.7461624347380778
2015-06-04,-1.6685098280802098
2015-06-05,-1.8794533601272576
2015-06-08,-1.744299131167559
2015-06-09,-1.8766491101675684
2015-06-10,-1.7360194824026147
2015-06-11,-2.031644356060949
2015-06-12,-1.8739247976903937
2015-06-15,-1.980314899561166
2015-06-16,-1.918574970289122
2015-06-17,-1.7905108309040407
2015-06-18,-1.7393546966795113
2015-06-19,-1.9368789511586295
2015-06-22,-1.9454020464682842
2015-06-23,-1.856575663212687
2015-06-24,-1.7854545558993522
2015-06-25,-1.8990915285237773
2015-06-26,-1.7906085590228988
2015-06-29,-1.7506014561542342
2015-06-30,-2.616866213417937
2015-07-01,-2.4881562173635503
2015-07-02,-2.4209635049245226
2015-07-06,-2.2901410734875616
2015-07-07,-2.178331486236031
2015-07-08,-2.0069415450785453
2015-07-09,-2.518734520647348
2015-07-10,-2.3571590823723176
2015-07-13,-2.5282024266139778
2015-07-14,-2.583811669914003
2015-07-15,-2.5015923210350977
2015-07-16,-2.3876962439689757
2015-07-17,-2.4429492114922513
2015-07-20,-2.384958874960944
2015-07-21,-2.213091987865899
2015-07-22,-2.11535905474385
2015-07-23,-2.0687675745687915
2015-07-24,-2.0523665161036755
2015-07-27,-2.31740435334757
2015-07-28,-2.333308730783085
2015-07-29,-2.442257620640967
2015-07-30,-2.3767112428358783
2015-07-31,-2.1338822504542727
2015-08-03,-2.0129521845431344
2015-08-04,-1.9108679113045663
2015-08-05,-1.8727846049741905
2015-08-06,-1.7563431647603742
2015-08-07,-1.9961389530571803
2015-08-10,-1.99428991149295
2015-08-11,-2.289790374930672
2015-08-12,-2.428572369398444
2015-08-13,-2.2816216531343096
2015-08-14,-2.04950269666073
2015-08-17,-1.9539990358314667
2015-08-18,-1.9476100278983977
2015-08-19,-1.8914336135080572
2015-08-20,-2.017118858360847
2015-08-21,-2.774047034613669
2015-08-24,-3.620531273597452
2015-08-25,-4.466845828086088
2015-08-26,-4.1095713570399734
2015-08-27,-4.808718198401852
2015-08-28,-4.82834655349904
2015-08-31,-4.438235892248054
2015-09-01,-4.1913002132606
2015-09-02,-4.583556555516744
2015-09-03,-4.5663033432665205
